technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,log_channel,log_provider,filter_in
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,User created Process,user,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Thread,process,created,thread,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Thread,process,created,thread,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Process,process,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Process,process,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Process,process,created,process,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,Process created Process,process,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,User created Process,user,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,User created Process,user,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Thread,process,created,thread,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Thread,process,created,thread,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Process,process,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],process,process creation,Process created Process,process,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,User modified File,user,modified,file,4670,Permissions on an object were changed.,Windows,Object Access,File System,Security,Microsoft-Windows-Security-Auditing,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,User modified File,user,modified,file,DeviceFileEvents,DeviceFileEvents,Windows,,nan,,Windows Defender Advanced Threat Protection,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,Process modified File,process,modified,file,2,A process changed a file creation time.,Windows,FileCreateTime,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,Process modified File,process,modified,file,11,FileCreate.,Windows,FileCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,Process modified File,process,modified,file,4670,Permissions on an object were changed.,Windows,Object Access,File System,Security,Microsoft-Windows-Security-Auditing,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,Process modified File,process,modified,file,FileModified,FileModified,Windows,,nan,DeviceFileEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file modification,Process modified File,process,modified,file,FileRenamed,FileRenamed,Windows,,nan,DeviceFileEvents,Microsoft Defender for Endpoint,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file creation,User created File,user,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file creation,User created File,user,created,file,DeviceFileEvents,DeviceFileEvents,Windows,,nan,,Windows Defender Advanced Threat Protection,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file creation,Process created File,process,created,file,11,FileCreate.,Windows,FileCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file creation,Process created File,process,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1547.015,True,Login Items,"['persistence', 'privilege-escalation']",['macOS'],file,file creation,Process created File,process,created,file,FileCreated,FileCreated,Windows,,nan,DeviceFileEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",script,script execution,Process executed Script,process,executed,Script,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",script,script execution,Process executed Script,process,executed,Script,4104,Script Block Logging.,Windows,Execute a Remote Command,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",script,script execution,Process executed Script,process,executed,Script,ScriptContent,ScriptContent,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",script,script execution,Process executed Script,process,executed,Script,PowerShellCommand,PowerShellCommand,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",script,script execution,Process executed Script,process,executed,Script,AmsiScriptDetection,AmsiScriptDetection,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",process,os api execution,Process executed Api call,process,executed,api call,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",process,os api execution,Process executed Api call,process,executed,api call,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",module,module load,User loaded Module,user,loaded,module,7,Image loaded.,Windows,ImageLoad,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",module,module load,User loaded Module,user,loaded,module,ImageLoaded,ImageLoaded,Windows,,nan,DeviceImageLoadEvents,Microsoft Defender for Endpoint,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",module,module load,Process loaded Module,process,loaded,module,7,Image loaded.,Windows,ImageLoad,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1620,False,Reflective Code Loading,['defense-evasion'],"['macOS', 'Linux', 'Windows']",module,module load,Process loaded Module,process,loaded,module,ImageLoaded,ImageLoaded,Windows,,nan,DeviceImageLoadEvents,Microsoft Defender for Endpoint,nan
T1619,False,Cloud Storage Object Discovery,['discovery'],['IaaS'],cloud storage,cloud storage enumeration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T1619,False,Cloud Storage Object Discovery,['discovery'],['IaaS'],cloud storage,cloud storage access,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Thread,process,created,thread,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Thread,process,created,thread,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],file,file creation,User created File,user,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],file,file creation,User created File,user,created,file,DeviceFileEvents,DeviceFileEvents,Windows,,nan,,Windows Defender Advanced Threat Protection,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],file,file creation,Process created File,process,created,file,11,FileCreate.,Windows,FileCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],file,file creation,Process created File,process,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],file,file creation,Process created File,process,created,file,FileCreated,FileCreated,Windows,,nan,DeviceFileEvents,Microsoft Defender for Endpoint,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1218.014,True,MMC,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,User created Process,user,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Thread,process,created,thread,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Thread,process,created,thread,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],process,process creation,Process created Process,process,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,User executed Command,user,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1218.013,True,Mavinject,['defense-evasion'],['Windows'],command,command execution,Process executed Command,process,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",windows registry,windows registry key access,User requested access to Windows registry key,user,requested access to,windows registry key,4656,A handle to an object was requested.,Windows,Object Access,Registry,Security,Microsoft-Windows-Security-Auditing,{'ObjectType': 'Key'}
T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",windows registry,windows registry key access,Process accessed Windows registry key,process,accessed,windows registry key,4663,An attempt was made to access an object.,Windows,Object Access,Registry,Security,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'Key'}]
T1614.001,True,System Language Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",windows registry,windows registry key access,Process requested access to Windows registry key,process,requested access to,windows registry key,4656,A handle to an object was requested.,Windows,Object Access,Registry,Security,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'Key'}]
