technique_id,tactic,technique,x_mitre_is_subtechnique,log_provider
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-PowerShell
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft Defender for Endpoint
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Security-Auditing
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Linux-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-PowerShell
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft Defender for Endpoint
T1562.010,defense-evasion,Downgrade Attack,True,nan
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Security-Auditing
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Linux-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft Defender for Endpoint
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft Defender for Endpoint
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Security-Auditing
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Linux-Sysmon
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Microsoft-Windows-Security-Auditing
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Linux-Sysmon
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Microsoft-Windows-Security-Auditing
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Linux-Sysmon
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Microsoft-Windows-Security-Auditing
T1547.015,persistence,Login Items,True,Windows Defender Advanced Threat Protection
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Microsoft-Windows-Security-Auditing
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1547.015,persistence,Login Items,True,Linux-Sysmon
T1547.015,persistence,Login Items,True,Windows Defender Advanced Threat Protection
T1547.015,persistence,Login Items,True,Microsoft-Windows-Sysmon
T1547.015,persistence,Login Items,True,Linux-Sysmon
T1547.015,persistence,Login Items,True,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft-Windows-PowerShell
T1620,defense-evasion,Reflective Code Loading,False,Microsoft-Windows-PowerShell
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft-Windows-Sysmon
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft-Windows-Sysmon
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1620,defense-evasion,Reflective Code Loading,False,Microsoft-Windows-Sysmon
T1620,defense-evasion,Reflective Code Loading,False,Microsoft Defender for Endpoint
T1619,discovery,Cloud Storage Object Discovery,False,nan
T1619,discovery,Cloud Storage Object Discovery,False,nan
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Security-Auditing
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Linux-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Security-Auditing
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Linux-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.014,defense-evasion,MMC,True,Linux-Sysmon
T1218.014,defense-evasion,MMC,True,Windows Defender Advanced Threat Protection
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Linux-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Security-Auditing
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-PowerShell
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Security-Auditing
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-Sysmon
T1218.014,defense-evasion,MMC,True,Linux-Sysmon
T1218.014,defense-evasion,MMC,True,Microsoft-Windows-PowerShell
T1218.014,defense-evasion,MMC,True,Microsoft Defender for Endpoint
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Security-Auditing
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Sysmon
T1218.013,defense-evasion,Mavinject,True,Linux-Sysmon
T1218.013,defense-evasion,Mavinject,True,Microsoft Defender for Endpoint
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Sysmon
T1218.013,defense-evasion,Mavinject,True,Microsoft Defender for Endpoint
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Security-Auditing
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Sysmon
T1218.013,defense-evasion,Mavinject,True,Linux-Sysmon
T1218.013,defense-evasion,Mavinject,True,Microsoft Defender for Endpoint
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Security-Auditing
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Sysmon
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-PowerShell
T1218.013,defense-evasion,Mavinject,True,Microsoft Defender for Endpoint
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Security-Auditing
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-Sysmon
T1218.013,defense-evasion,Mavinject,True,Linux-Sysmon
T1218.013,defense-evasion,Mavinject,True,Microsoft-Windows-PowerShell
T1218.013,defense-evasion,Mavinject,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Linux-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Linux-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-PowerShell
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Security-Auditing
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-Sysmon
T1614.001,discovery,System Language Discovery,True,Linux-Sysmon
T1614.001,discovery,System Language Discovery,True,Microsoft-Windows-PowerShell
T1614.001,discovery,System Language Discovery,True,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,nan
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-PowerShell
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-PowerShell
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Sysmon
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-PowerShell
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Sysmon
T1615,discovery,Group Policy Discovery,False,Linux-Sysmon
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-PowerShell
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Sysmon
T1615,discovery,Group Policy Discovery,False,Linux-Sysmon
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Sysmon
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Security-Auditing
T1615,discovery,Group Policy Discovery,False,Microsoft-Windows-Sysmon
T1615,discovery,Group Policy Discovery,False,Linux-Sysmon
T1615,discovery,Group Policy Discovery,False,Microsoft Defender for Endpoint
T1036.007,defense-evasion,Double File Extension,True,Linux-Sysmon
T1036.007,defense-evasion,Double File Extension,True,Windows Defender Advanced Threat Protection
T1036.007,defense-evasion,Double File Extension,True,Microsoft-Windows-Sysmon
T1036.007,defense-evasion,Double File Extension,True,Linux-Sysmon
T1036.007,defense-evasion,Double File Extension,True,Microsoft Defender for Endpoint
T1036.007,defense-evasion,Double File Extension,True,nan
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Linux-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Linux-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-PowerShell
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Security-Auditing
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Linux-Sysmon
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft-Windows-PowerShell
T1562.009,defense-evasion,Safe Mode Boot,True,Microsoft Defender for Endpoint
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Security-Auditing
T1564.008,defense-evasion,Email Hiding Rules,True,Windows Defender Advanced Threat Protection
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Sysmon
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Sysmon
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Security-Auditing
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft Defender for Endpoint
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft Defender for Endpoint
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Security-Auditing
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Sysmon
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-PowerShell
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft Defender for Endpoint
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Security-Auditing
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-Sysmon
T1564.008,defense-evasion,Email Hiding Rules,True,Linux-Sysmon
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft-Windows-PowerShell
T1564.008,defense-evasion,Email Hiding Rules,True,Microsoft Defender for Endpoint
T1564.008,defense-evasion,Email Hiding Rules,True,nan
T1505.004,persistence,IIS Components,True,Linux-Sysmon
T1505.004,persistence,IIS Components,True,Windows Defender Advanced Threat Protection
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Sysmon
T1505.004,persistence,IIS Components,True,Linux-Sysmon
T1505.004,persistence,IIS Components,True,Microsoft Defender for Endpoint
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Security-Auditing
T1505.004,persistence,IIS Components,True,Windows Defender Advanced Threat Protection
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Sysmon
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Sysmon
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Security-Auditing
T1505.004,persistence,IIS Components,True,Microsoft Defender for Endpoint
T1505.004,persistence,IIS Components,True,Microsoft Defender for Endpoint
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Security-Auditing
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Sysmon
T1505.004,persistence,IIS Components,True,Microsoft-Windows-PowerShell
T1505.004,persistence,IIS Components,True,Microsoft Defender for Endpoint
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Security-Auditing
T1505.004,persistence,IIS Components,True,Microsoft-Windows-Sysmon
T1505.004,persistence,IIS Components,True,Linux-Sysmon
T1505.004,persistence,IIS Components,True,Microsoft-Windows-PowerShell
T1505.004,persistence,IIS Components,True,Microsoft Defender for Endpoint
T1027.006,defense-evasion,HTML Smuggling,True,Linux-Sysmon
T1027.006,defense-evasion,HTML Smuggling,True,Windows Defender Advanced Threat Protection
T1027.006,defense-evasion,HTML Smuggling,True,Microsoft-Windows-Sysmon
T1027.006,defense-evasion,HTML Smuggling,True,Linux-Sysmon
T1027.006,defense-evasion,HTML Smuggling,True,Microsoft Defender for Endpoint
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft Defender for Endpoint
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft Defender for Endpoint
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft-Windows-Security-Auditing
T1213.003,collection,Code Repositories,True,Microsoft Defender for Endpoint
T1213.003,collection,Code Repositories,True,nan
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-PowerShell
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Linux-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-PowerShell
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Linux-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Security-Auditing
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft-Windows-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Linux-Sysmon
T1553.006,defense-evasion,Code Signing Policy Modification,True,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,nan
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Security-Auditing
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Linux-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Security-Auditing
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Linux-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Security-Auditing
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft-Windows-PowerShell
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Security-Auditing
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Linux-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft-Windows-PowerShell
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1614,discovery,System Location Discovery,False,Microsoft-Windows-Sysmon
T1614,discovery,System Location Discovery,False,Microsoft Defender for Endpoint
T1613,discovery,Container and Resource Discovery,False,nan
T1613,discovery,Container and Resource Discovery,False,nan
T1613,discovery,Container and Resource Discovery,False,nan
T1613,discovery,Container and Resource Discovery,False,nan
T1613,discovery,Container and Resource Discovery,False,nan
T1613,discovery,Container and Resource Discovery,False,nan
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Sysmon
T1552.007,credential-access,Container API,True,Microsoft-Windows-PowerShell
T1552.007,credential-access,Container API,True,Microsoft Defender for Endpoint
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Sysmon
T1552.007,credential-access,Container API,True,Linux-Sysmon
T1552.007,credential-access,Container API,True,Microsoft-Windows-PowerShell
T1552.007,credential-access,Container API,True,Microsoft Defender for Endpoint
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft Defender for Endpoint
T1552.007,credential-access,Container API,True,CloudTrail
T1552.007,credential-access,Container API,True,CloudTrail
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft-Windows-Security-Auditing
T1552.007,credential-access,Container API,True,Microsoft Defender for Endpoint
T1552.007,credential-access,Container API,True,CloudTrail
T1612,defense-evasion,Build Image on Host,False,nan
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Sysmon
T1612,defense-evasion,Build Image on Host,False,Linux-Sysmon
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Sysmon
T1612,defense-evasion,Build Image on Host,False,Linux-Sysmon
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Sysmon
T1612,defense-evasion,Build Image on Host,False,Linux-Sysmon
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Sysmon
T1612,defense-evasion,Build Image on Host,False,Linux-Sysmon
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
T1612,defense-evasion,Build Image on Host,False,Microsoft-Windows-Security-Auditing
T1612,defense-evasion,Build Image on Host,False,Microsoft Defender for Endpoint
